rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tfat4ru-sdf1x1b-lscra1uv9-q1-mcq,Q1,mcq,Choose the correct result for 3 ÷ 1/4.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""12"",""correct"":true},{""text"":""3/4"",""correct"":false},{""text"":""7"",""correct"":false},{""text"":""1/12"",""correct"":false}]","3 ÷ 1/4 asks how many one-fourths are in 3 wholes. Each whole has 4 fourths, so 3 wholes have 12 fourths. The correct answer is 12.","{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
2,tfat4ru-sdf1x1b-lscra1uv9-q2-mcq,Q2,mcq,Select the true statement about 2 ÷ 1/2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""2 ÷ 1/2 = 1"",""correct"":false},{""text"":""2 ÷ 1/2 = 2"",""correct"":false},{""text"":""2 ÷ 1/2 = 4"",""correct"":true},{""text"":""2 ÷ 1/2 = 2 1/2"",""correct"":false}]","Dividing 2 by 1/2 means counting how many halves are in 2 wholes. There are 4 halves in 2 wholes, so the true statement is 2 ÷ 1/2 = 4.","{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
3,tfat4ru-sdf1x1b-lscra1uv9-q3-mcq,Q3,mcq,A ribbon is 4 metres long. Pieces of length 1/2 metre are cut from it. Choose the number of pieces made.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""2"",""correct"":false},{""text"":""6"",""correct"":false},{""text"":""8"",""correct"":true},{""text"":""4 1/2"",""correct"":false}]","This is 4 ÷ 1/2. There are 2 halves in each whole, so in 4 wholes there are 8 halves. That makes 8 pieces.","{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
4,tfat4ru-sdf1x1b-lscra1uv9-q4-mcq,Q4,mcq,Decide which comparison is correct for 1 ÷ 1/3 and 1 ÷ 1/2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Analyzing,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""1 ÷ 1/3 < 1 ÷ 1/2"",""correct"":false},{""text"":""1 ÷ 1/3 = 1 ÷ 1/2"",""correct"":false},{""text"":""1 ÷ 1/3 > 1 ÷ 1/2"",""correct"":true},{""text"":""Both results are 1"",""correct"":false}]","1 ÷ 1/3 = 3 because three thirds fit in 1. 1 ÷ 1/2 = 2 because two halves fit in 1. Since 3 > 2, the correct comparison is 1 ÷ 1/3 > 1 ÷ 1/2.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
5,tfat4ru-sdf1x1b-lscra1uv9-q5-mcq,Q5,mcq,How many groups of 1/5 are formed from 2 wholes?,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""5"",""correct"":false},{""text"":""7"",""correct"":false},{""text"":""10"",""correct"":true},{""text"":""2/5"",""correct"":false}]","This is 2 ÷ 1/5. Each whole has 5 fifths, so 2 wholes have 10 fifths. That means 10 groups of 1/5.","{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
6,tfat4ru-sdf1x1b-lscra1uv9-q6-mcq,Q6,mcq,Choose the correct result for 5 ÷ 1/5.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""1"",""correct"":false},{""text"":""10"",""correct"":false},{""text"":""25"",""correct"":true},{""text"":""5/5"",""correct"":false}]","5 ÷ 1/5 means how many fifths are in 5 wholes. Each whole has 5 fifths, so 5 wholes have 25 fifths. The answer is 25.","{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
7,tfat4ru-sdf1x1b-lscra1uv9-q7-mcq,Q7,mcq,Choose the sentence that is correct about 1 ÷ 1/4.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""1 ÷ 1/4 = 4"",""correct"":true},{""text"":""1 ÷ 1/4 = 1/4"",""correct"":false},{""text"":""1 ÷ 1/4 = 3"",""correct"":false},{""text"":""1 ÷ 1/4 = 5"",""correct"":false}]","One whole contains 4 fourths, so 1 ÷ 1/4 = 4. The wrong choices confuse division with the divisor or with a different count.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
8,tfat4ru-sdf1x1b-lscra1uv9-q8-mcq,Q8,mcq,A cake weighs 3 kilograms. Slices of 1/3 kilogram are made. Choose how many slices there are.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""1"",""correct"":false},{""text"":""6"",""correct"":false},{""text"":""9"",""correct"":true},{""text"":""3 1/3"",""correct"":false}]","This is 3 ÷ 1/3. Each whole has 3 thirds, so 3 wholes have 9 thirds. That gives 9 slices.","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
9,tfat4ru-sdf1x1b-lscra1uv9-q9-mcq,Q9,mcq,Look at the expressions 2 ÷ 1/4 and 2 ÷ 1/2. Decide which statement is correct.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Analyzing,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""2 ÷ 1/4 is less than 2 ÷ 1/2"",""correct"":false},{""text"":""2 ÷ 1/4 is greater than 2 ÷ 1/2"",""correct"":true},{""text"":""Both expressions equal 2"",""correct"":false},{""text"":""Both expressions equal 4"",""correct"":false}]","2 ÷ 1/4 = 8 and 2 ÷ 1/2 = 4. Since 8 is greater than 4, 2 ÷ 1/4 is greater.","{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
10,tfat4ru-sdf1x1b-lscra1uv9-q10-mcq,Q10,mcq,Choose the equation that matches this idea: How many thirds are in 2 wholes?,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""2 × 1/3"",""correct"":false},{""text"":""2 ÷ 3"",""correct"":false},{""text"":""2 ÷ 1/3"",""correct"":true},{""text"":""1/3 ÷ 2"",""correct"":false}]",How many thirds are in 2 wholes is written as 2 ÷ 1/3. The other options show different operations.,"{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
11,tfat4ru-sdf1x1b-lscra1uv9-q11-mcq,Q11,mcq,Pick the correct value of 4 ÷ 1/2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can represent and solve fraction division using diagrams,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can represent and solve fraction division using diagrams.","[{""text"":""2"",""correct"":false},{""text"":""6"",""correct"":false},{""text"":""8"",""correct"":true},{""text"":""4 1/2"",""correct"":false}]","4 ÷ 1/2 asks how many halves are in 4 wholes. Each whole has 2 halves, so there are 8 halves in 4 wholes.","{""questionNumber"":""Q11"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can represent and solve fraction division using diagrams"",""focus"":""division""}"
