rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tfat4ru-sasuf1of3-lscfay2cx-q1-mcq,Q1,mcq,Choose the correct result for 2/3 + 1/4.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""11/12"",""correct"":true},{""text"":""3/7"",""correct"":false},{""text"":""3/12"",""correct"":false},{""text"":""10/12"",""correct"":false}]",The common denominator of 3 and 4 is 12. Convert 2/3 to 8/12 and 1/4 to 3/12. Then add: 8/12 + 3/12 = 11/12. The distractors show common mistakes such as adding tops and bottoms directly or missing one part when converting.,"{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""addition""}"
2,tfat4ru-sasuf1of3-lscfay2cx-q2-mcq,Q2,mcq,Select the true statement about 5/6 - 1/4.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""5/6 - 1/4 = 7/12"",""correct"":true},{""text"":""5/6 - 1/4 = 4/10"",""correct"":false},{""text"":""5/6 - 1/4 = 4/24"",""correct"":false},{""text"":""5/6 - 1/4 = 1/2"",""correct"":false}]",Use a common denominator of 12. 5/6 = 10/12 and 1/4 = 3/12. Then 10/12 - 3/12 = 7/12. The other options come from incorrect subtraction or not using equivalent fractions correctly.,"{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""subtraction""}"
3,tfat4ru-sasuf1of3-lscfay2cx-q3-mcq,Q3,mcq,Calculate 1/2 + 1/3.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""5/6"",""correct"":true},{""text"":""2/5"",""correct"":false},{""text"":""2/6"",""correct"":false},{""text"":""1/5"",""correct"":false}]","Use a common denominator of 6. Rewrite 1/2 as 3/6 and 1/3 as 2/6. Then 3/6 + 2/6 = 5/6. The options 2/5 and 1/5 come from adding or subtracting incorrectly, and 2/6 does not include both fractions correctly.","{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""addition""}"
4,tfat4ru-sasuf1of3-lscfay2cx-q4-mcq,Q4,mcq,Look at the expression 7/8 - 1/2. Decide which result is correct in simplest form.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""3/8"",""correct"":true},{""text"":""1/4"",""correct"":false},{""text"":""1/6"",""correct"":false},{""text"":""7/10"",""correct"":false}]","Rewrite 1/2 as 4/8. Then 7/8 - 4/8 = 3/8. This is already in simplest form. 1/4 is too small, 1/6 uses an incorrect denominator, and 7/10 comes from an incorrect operation with the numerators and denominators.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""subtraction""}"
5,tfat4ru-sasuf1of3-lscfay2cx-q5-mcq,Q5,mcq,Choose the equation that correctly adds 3/5 and 1/2.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""3/5 + 1/2 = 11/10"",""correct"":true},{""text"":""3/5 + 1/2 = 4/7"",""correct"":false},{""text"":""3/5 + 1/2 = 4/10"",""correct"":false},{""text"":""3/5 + 1/2 = 3/10"",""correct"":false}]",Use a common denominator of 10. 3/5 = 6/10 and 1/2 = 5/10. Then 6/10 + 5/10 = 11/10. The other options show common mistakes like adding tops and bottoms or subtracting.,"{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""addition""}"
6,tfat4ru-sasuf1of3-lscfay2cx-q6-mcq,Q6,mcq,Choose the correct result for 3/4 - 1/6.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""7/12"",""correct"":true},{""text"":""2/2"",""correct"":false},{""text"":""2/10"",""correct"":false},{""text"":""1/2"",""correct"":false}]",The common denominator of 4 and 6 is 12. 3/4 = 9/12 and 1/6 = 2/12. Then 9/12 - 2/12 = 7/12. Other options come from incorrect subtraction or adding instead of subtracting.,"{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""subtraction""}"
7,tfat4ru-sasuf1of3-lscfay2cx-q7-mcq,Q7,mcq,Choose the sentence that is correct about 1/3 + 1/6.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""1/3 + 1/6 = 1/2"",""correct"":true},{""text"":""1/3 + 1/6 = 2/9"",""correct"":false},{""text"":""1/3 + 1/6 = 2/6"",""correct"":false},{""text"":""1/3 + 1/6 = 1/9"",""correct"":false}]","Use sixths. 1/3 = 2/6, so 2/6 + 1/6 = 3/6, which is 1/2. The distractors show mistakes such as adding numerators and denominators directly or not simplifying correctly.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""addition""}"
8,tfat4ru-sasuf1of3-lscfay2cx-q8-mcq,Q8,mcq,Calculate 5/6 - 1/3.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""1/2"",""correct"":true},{""text"":""4/9"",""correct"":false},{""text"":""4/6"",""correct"":false},{""text"":""2/3"",""correct"":false}]","Use a common denominator of 6. Rewrite 1/3 as 2/6. Then 5/6 - 2/6 = 3/6, which simplifies to 1/2. The option 4/6 comes from subtracting the wrong amount, and 2/3 is equal to 4/6, so it is also not the correct difference.","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""subtraction""}"
9,tfat4ru-sasuf1of3-lscfay2cx-q9-mcq,Q9,mcq,Compare the sum 1/4 + 2/3 with the answer choices and pick the correct one.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""11/12"",""correct"":true},{""text"":""3/7"",""correct"":false},{""text"":""3/12"",""correct"":false},{""text"":""2/12"",""correct"":false}]",The common denominator of 4 and 3 is 12. 1/4 = 3/12 and 2/3 = 8/12. Add them to get 11/12. The other choices come from common errors with denominators or numerators.,"{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""addition""}"
10,tfat4ru-sasuf1of3-lscfay2cx-q10-mcq,Q10,mcq,Choose the equation that matches the correct subtraction of 2/3 - 1/5.,Maths,5,Fraction Arithmetic,Adding & Subtracting Unlike Fractions,Students can find a common denominator to add and subtract fractions,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Adding & Subtracting Unlike Fractions, aligned to Students can find a common denominator to add and subtract fractions.","[{""text"":""2/3 - 1/5 = 7/15"",""correct"":true},{""text"":""2/3 - 1/5 = 1/2"",""correct"":false},{""text"":""2/3 - 1/5 = 1/15"",""correct"":false},{""text"":""2/3 - 1/5 = 1/8"",""correct"":false}]",Use a common denominator of 15. 2/3 = 10/15 and 1/5 = 3/15. Then 10/15 - 3/15 = 7/15. The distractors show likely mistakes from incorrect subtraction or choosing the wrong denominator.,"{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Adding & Subtracting Unlike Fractions"",""learning_objective"":""Students can find a common denominator to add and subtract fractions"",""focus"":""subtraction""}"
