rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tddi6yl9-sft2rll-lscdcvlmc-q1-mcq,Q1,mcq,"Choose the correct result for this toy-box puzzle. A frequency table shows toy cars = 9, teddy bears = 6, yo-yos = 5, and kites = 8. Two more kites are added, and then 3 toy cars are given away. After those changes, the table is called mixed-up if the greatest frequency is exactly 2 more than the smallest frequency. Does the table become mixed-up?",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Analyzing,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""Yes, because the new frequencies are 6, 6, 8, and 10, so 10 is 4 more than 6."",""correct"":false},{""text"":""No, because the new frequencies are 6, 6, 5, and 10, so the difference is 5."",""correct"":false},{""text"":""Yes, because the new frequencies are 6, 6, 5, and 10, so the greatest is 2 more than the smallest."",""correct"":false},{""text"":""No, because the new frequencies are 6, 6, 5, and 10, and the greatest is 5 more than the smallest."",""correct"":true}]","Nice careful thinking! After the changes, cars = 6, bears = 6, yo-yos = 5, kites = 10. The greatest is 10 and the smallest is 5, so the difference is 5, not 2.","{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""evaluate_a_claim""}"
2,tddi6yl9-sft2rll-lscdcvlmc-q2-mcq,Q2,mcq,"Decide which claim about this puppy snack table is true. Biscuits = 7, carrots = 11, apple slices = 5, and cheese cubes = 9. The table is called balanced when the two biggest groups together are exactly double the two smallest groups together.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""The table is balanced because 11 + 9 = 20 and 7 + 5 = 12, and 20 is double 12."",""correct"":false},{""text"":""The table is not balanced because 11 + 9 = 20 and double of 7 + 5 is 24."",""correct"":true},{""text"":""The table is balanced because all 4 groups add to 32, and half of 32 is 20."",""correct"":false},{""text"":""The table is not balanced because the two smallest groups are 5 and 9."",""correct"":false}]","Great job checking both pairs! The two biggest are 11 and 9, making 20. The two smallest are 7 and 5, making 12, and double 12 is 24, not 20.","{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""evaluate_a_claim""}"
3,tddi6yl9-sft2rll-lscdcvlmc-q3-mcq,Q3,mcq,"A sticker parade has this frequency table: stars = 8, rockets = 6, dinosaurs = 10, and smiley faces = 4. A prize bag uses exactly two sticker groups. It must have a total of 14 stickers. The larger group must have exactly 2 more stickers than the smaller group, and together the two groups must make up half of all the stickers in the table. Which pair works?",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Analyzing,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""stars and rockets"",""correct"":true},{""text"":""rockets and smiley faces"",""correct"":false},{""text"":""dinosaurs and smiley faces"",""correct"":false},{""text"":""stars and smiley faces"",""correct"":false}]","First find the total number of stickers in the whole table: 8 + 6 + 10 + 4 = 28, so half is 14. Now check the pairs. Stars and rockets make 8 + 6 = 14, and the larger group is exactly 2 more than the smaller group, so they fit both conditions. Rockets and smiley faces make 10, dinosaurs and smiley faces make 14 but differ by 6, and stars and smiley faces make 12. So only stars and rockets work.","{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""multi_constraint_problem""}"
4,tddi6yl9-sft2rll-lscdcvlmc-q4-mcq,Q4,mcq,"Compare the two results for this sweet table. Lollipops = 12, jelly beans = 7, chocolates = 9, and mints = 4. One method says, ""Add the two biggest groups and subtract the two smallest groups: (12 + 9) - (7 + 4)."" Another method says, ""Subtract biggest minus smallest twice: (12 - 4) + (9 - 7)."" The question is asking for how many more sweets are in the two biggest groups than in the two smallest groups. Choose the best judgment.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""Only the first method is correct, because the second method gives a different answer."",""correct"":false},{""text"":""Only the second method is correct, because it uses subtraction first."",""correct"":false},{""text"":""Both methods are correct, because both give 10 for the same comparison."",""correct"":true},{""text"":""Neither method is correct, because you must add all four groups first."",""correct"":false}]","Excellent comparing! The first method gives 21 - 11 = 10. The second gives 8 + 2 = 10. Both match the question, so both methods work.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""compare_methods""}"
5,tddi6yl9-sft2rll-lscdcvlmc-q5-mcq,Q5,mcq,"Choose the method that correctly decides this pet-show question. Rabbits = 8, puppies = 13, kittens = 9, and hamsters = 6. The question asks: Is the total of puppies and kittens exactly 8 more than the total of rabbits and hamsters?",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""Add 13 + 9 and 8 + 6, then subtract the pair totals: 22 - 14 = 8, so the statement is true."",""correct"":true},{""text"":""Compare only the larger animals in each pair: 13 - 8 = 5, so the statement is false."",""correct"":false},{""text"":""Add 13 + 9 + 8 and then compare it with 6 to see if the gap is 8."",""correct"":false},{""text"":""Find 13 - 9 and 8 - 6, then compare 4 and 2 because each pair should be subtracted first."",""correct"":false}]","The question compares two totals, so the correct method is to add each pair first. Puppies and kittens total 13 + 9 = 22. Rabbits and hamsters total 8 + 6 = 14. Then compare the totals: 22 - 14 = 8, so the statement is true. Option 2 is wrong because it compares only one number from each pair. Option 3 mixes three groups against one group. Option 4 subtracts inside each pair instead of finding the pair totals named in the question.","{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""compare_methods""}"
6,tddi6yl9-sft2rll-lscdcvlmc-q6-mcq,Q6,mcq,"Choose the correct result for this bug-hunt mystery. A frequency table has butterflies = 7, ants = 9, and beetles = 6. The total number of bugs in the table is 30, and ladybirds are the hidden fourth group. After 2 more ladybirds are added, the biggest group in the table is exactly 1 more than ants. What was the original number of ladybirds?",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Analyzing,hard,5,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""6, because 30 - (7 + 9 + 6 + 2) = 6"",""correct"":false},{""text"":""8, because 30 - (7 + 9 + 6) = 8, and after 2 more ladybirds there are 10"",""correct"":true},{""text"":""10, because the biggest group must end at 10, so the original number was already 10"",""correct"":false},{""text"":""12, because 7 + 9 + 6 = 22 and 30 - 22 = 12"",""correct"":false}]","Add the known groups first: 7 + 9 + 6 = 22. Since the total is 30, the original number of ladybirds is 30 - 22 = 8. After 2 more are added, there are 10 ladybirds. Ants stay at 9, so 10 is exactly 1 more than 9, making ladybirds the biggest group. Option 6 wrongly subtracts the extra 2 before finding the original amount. Option 10 confuses the final amount with the starting amount. Option 12 comes from adding the known groups incorrectly.","{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""reverse_reasoning""}"
7,tddi6yl9-sft2rll-lscdcvlmc-q7-mcq,Q7,mcq,"Select the true statement about this playground game table. Tag = 11, skipping = 8, hoop game = 5, and beanbag toss = 6. The table is called super-fair if the biggest group is equal to the two smallest groups together. Then 2 more children choose beanbag toss. Decide what happens.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""The table was super-fair before the change and stays super-fair after the change."",""correct"":false},{""text"":""The table was not super-fair before the change, but it becomes super-fair after the change."",""correct"":false},{""text"":""The table was super-fair before the change, but it stops being super-fair after the change."",""correct"":true},{""text"":""The table is never super-fair because 11 is bigger than every other number."",""correct"":false}]","Before the change, the biggest group is 11. The two smallest groups are 5 and 6, and 5 + 6 = 11, so the table is super-fair. After 2 more children choose beanbag toss, that group becomes 8. The numbers are then 11, 8, 5, and 8. The two smallest groups are now 5 and 8, and 5 + 8 = 13, not 11. So the table is super-fair before the change but not after it.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""evaluate_a_claim""}"
8,tddi6yl9-sft2rll-lscdcvlmc-q8-mcq,Q8,mcq,"A snack stand keeps a frequency table for fruit cups: apple = 9, mango = 7, melon = 6, and grape = 8. One answer says the difference between the total of apple and grape and the total of mango and melon is 4, using 9 + 8 - 7 + 6. Choose the best reason this answer is wrong.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Analyzing,hard,5,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""It used the wrong pairs. Apple should be matched with melon instead of grape."",""correct"":false},{""text"":""It did not subtract the whole total of mango and melon. It should be (9 + 8) - (7 + 6)."",""correct"":true},{""text"":""It should multiply the two pair totals because the question asks for a difference."",""correct"":false},{""text"":""It should add all four numbers first because differences cannot compare two totals."",""correct"":false}]","The question asks for the difference between two totals: apple and grape, and mango and melon. So first find each total: 9 + 8 = 17 and 7 + 6 = 13. Then subtract the second total from the first: 17 - 13 = 4. The expression 9 + 8 - 7 + 6 does not subtract the whole second total, because the +6 is added instead of being included in the amount being subtracted. That is why the correct setup is (9 + 8) - (7 + 6).","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""find_the_error""}"
9,tddi6yl9-sft2rll-lscdcvlmc-q9-mcq,Q9,mcq,"Look at these two pet tables and judge the claim. Table A shows fish = 4, cats = 9, dogs = 9, rabbits = 6. Table B shows fish = 5, cats = 8, dogs = 8, rabbits = 7. The claim says, ""Both tables fit all these clues: fish is the smallest group, cats and dogs are equal, and the total number of pets is 28."" Choose the best answer.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""Only Table A fits all the clues."",""correct"":false},{""text"":""Only Table B fits all the clues."",""correct"":false},{""text"":""Both tables fit all the clues."",""correct"":true},{""text"":""Neither table fits all the clues."",""correct"":false}]","Check Table A: fish is 4, which is the smallest; cats and dogs are both 9; and 4 + 9 + 9 + 6 = 28. So Table A fits. Check Table B: fish is 5, which is smaller than 8, 8, and 7; cats and dogs are both 8; and 5 + 8 + 8 + 7 = 28. So Table B also fits. Therefore both tables fit all the clues.","{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""multi_constraint_problem""}"
10,tddi6yl9-sft2rll-lscdcvlmc-q10-mcq,Q10,mcq,"Choose the equation that correctly checks this toy-shop question. Balls = 11, dolls = 6, robots = 8, and puzzles = 5. The question asks whether the total of balls and robots is triple the difference between dolls and puzzles, and whether the statement is true.",Maths,4,Data Display & Interpretation,Frequency Tables,Students can draw conclusions from data in different formats,Analyzing,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Frequency Tables, aligned to Students can draw conclusions from data in different formats.","[{""text"":""11 + 8 = 3 × (6 - 5), so the statement is true."",""correct"":false},{""text"":""11 + 8 ?= 3 × (6 - 5), and since 19 is not equal to 3, the statement is false."",""correct"":true},{""text"":""11 + 8 ?= 3 × (5 - 6), and since 19 is greater, the statement is true."",""correct"":false},{""text"":""11 + 8 ?= (6 - 5) ÷ 3, and since 19 is not equal to 1/3, the statement is false."",""correct"":false}]","The total of balls and robots is 11 + 8 = 19. The difference between dolls and puzzles is 6 - 5 = 1. Triple that difference is 3 × 1 = 3. So the correct check is 11 + 8 ?= 3 × (6 - 5), and it becomes 19 ?= 3. Since 19 is not equal to 3, the statement is false. Option 1 uses the right equation form but gives the wrong conclusion. Option 3 reverses the difference. Option 4 uses division instead of tripling.","{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Frequency Tables"",""learning_objective"":""Students can draw conclusions from data in different formats"",""focus"":""operation_reasoning""}"
