rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tlrr37e-snp1vcf-lscet1kij-q1-mcq,Q1,mcq,"Choose the correct result for this sticker puzzle: start with 14, then add 5. Which answer matches the puzzle?",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Applying,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""19"",""correct"":true},{""text"":""18"",""correct"":false},{""text"":""20"",""correct"":false},{""text"":""9"",""correct"":false}]","Great job! Start at 14 and add 5, so the answer is 19. The other choices come from adding or subtracting the wrong amount.","{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""solve a simple one-step number puzzle by following one rule""}"
2,tlrr37e-snp1vcf-lscet1kij-q2-mcq,Q2,mcq,Select the true statement about this toy train number puzzle: make the number with 3 tens and 4 ones.,Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""The number is 43."",""correct"":false},{""text"":""The number is 34."",""correct"":true},{""text"":""The number is 7."",""correct"":false},{""text"":""The number is 304."",""correct"":false}]","Nice thinking! 3 tens is 30 and 4 ones is 4, so the number is 34. Some wrong choices mix up the digits or add them instead of making a 2-digit number.","{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""recognise a number from tens and ones in a simple puzzle""}"
3,tlrr37e-snp1vcf-lscet1kij-q3-mcq,Q3,mcq,A puppy has 12 crunchy treats and gets 3 more treats. Choose the number that solves the treat puzzle.,Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Applying,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""9"",""correct"":false},{""text"":""14"",""correct"":false},{""text"":""15"",""correct"":true},{""text"":""16"",""correct"":false}]",Well done! 12 plus 3 makes 15. The other answers do not match the puzzle rule.,"{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""solve a simple add-on number puzzle in a real-world context""}"
4,tlrr37e-snp1vcf-lscet1kij-q4-mcq,Q4,mcq,"Compare the two toy robot plans for the number 7. Plan Spark says: double 7, add 6, then halve the result, so the answer is 10. Plan Bolt says the answer is 17 because 7 + 6 = 13 and doubling gives 26, then halving gives 17. Choose the best judgment.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Evaluating,hard,4,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""Plan Spark is correct because the rule must be followed in order: 7 × 2 = 14, 14 + 6 = 20, 20 ÷ 2 = 10."",""correct"":true},{""text"":""Plan Bolt is correct because adding first always makes the puzzle easier to solve."",""correct"":false},{""text"":""Both plans are correct because doubling and halving always cancel, no matter where the 6 is used."",""correct"":false},{""text"":""Neither plan is correct because 20 halved is 12."",""correct"":false}]","Nice thinking! The steps must stay in the given order. Double 7 to get 14, add 6 to get 20, then halve to get 10. Bolt changed the order, and 20 halved is 10, not 12.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""compare_methods""}"
5,tlrr37e-snp1vcf-lscet1kij-q5-mcq,Q5,mcq,"A jar of jellybeans follows this puzzle rule: split the starting number into 4 equal groups, then add 3 jellybeans to each group. Each group ends with 11 jellybeans. Choose the method that correctly works backward to the starting number.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Analyzing,hard,4,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""Start from 11, subtract 3 to get 8, then multiply by 4 to get 32."",""correct"":true},{""text"":""Start from 11, multiply by 4 to get 44, then add 3 to get 47."",""correct"":false},{""text"":""Start from 11, add 3 to get 14, then multiply by 4 to get 56."",""correct"":false},{""text"":""Start from 11, subtract 4 to get 7, then multiply by 3 to get 21."",""correct"":false}]","Great job looking backward! If each group ends at 11, first take away the extra 3 to get 8 in each group. Then 4 groups of 8 make 32. Some wrong answers mixed up the backward steps.","{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""reverse_reasoning""}"
6,tlrr37e-snp1vcf-lscet1kij-q6-mcq,Q6,mcq,"Make a number with 5 hundreds, 14 tens, and 6 ones. Then subtract 80. A student says the answer is 486 because 14 tens means 14. Which statement is correct?",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Analyzing,hard,4,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""The correct result is 566, because 14 tens means 140, so the number is 646 and 646 - 80 = 566."",""correct"":true},{""text"":""The correct result is 486, because 5 hundreds, 14 tens, and 6 ones make 514 + 6."",""correct"":false},{""text"":""The correct result is 506, because 14 tens can be renamed as 1 hundred and 4 ones."",""correct"":false},{""text"":""The correct result is 646, because the place-value number is correct and no subtraction is needed."",""correct"":false}]","5 hundreds = 500, 14 tens = 140, and 6 ones = 6. So the number is 500 + 140 + 6 = 646. Then subtract 80: 646 - 80 = 566. The student who got 486 treated 14 tens as 14 instead of 140. The answer 506 misreads the tens value, and 646 forgets the subtraction step.","{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""find_the_error""}"
7,tlrr37e-snp1vcf-lscet1kij-q7-mcq,Q7,mcq,"Choose the sentence that is correct about the puzzle 30, 27, 24, 21.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""The numbers go down by 3 each time."",""correct"":true},{""text"":""The numbers go down by 2 each time."",""correct"":false},{""text"":""The numbers go up by 3 each time."",""correct"":false},{""text"":""The numbers double each time."",""correct"":false}]","Great noticing! Each number is 3 less than the one before, so the pattern goes down by 3.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""describing a simple subtract-3 pattern""}"
8,tlrr37e-snp1vcf-lscet1kij-q8-mcq,Q8,mcq,"A stack of stickers grows like this: 6, 12, 18, 24. Choose the next number in the stack pattern.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Applying,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""26"",""correct"":false},{""text"":""28"",""correct"":false},{""text"":""30"",""correct"":true},{""text"":""32"",""correct"":false}]","Nice work! The stack grows by 6 each time, so 24 becomes 30.","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""continuing an add-6 pattern""}"
9,tlrr37e-snp1vcf-lscet1kij-q9-mcq,Q9,mcq,"Compare the two ideas for this number puzzle: 1, 3, 5, 7. Decide which rule is correct.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""Add 1 each time"",""correct"":false},{""text"":""Add 2 each time"",""correct"":true},{""text"":""Add 3 each time"",""correct"":false},{""text"":""Subtract 2 each time"",""correct"":false}]","Fantastic! The numbers 1, 3, 5, 7 go up by 2 each time. That is the correct rule.","{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""judging an add-2 odd-number pattern""}"
10,tlrr37e-snp1vcf-lscet1kij-q10-mcq,Q10,mcq,"How many are added each time in this snack puzzle: 9, 18, 27, 36?",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""7"",""correct"":false},{""text"":""8"",""correct"":false},{""text"":""9"",""correct"":true},{""text"":""10"",""correct"":false}]","Brilliant! Each number is 9 more than the one before, so the pattern adds 9.","{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""identifying the step size in an add-9 pattern""}"
11,tlrr37e-snp1vcf-lscet1kij-q11-mcq,Q11,mcq,"Choose the correct result for this number puzzle: 40, 35, 30, 25, ?",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Applying,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""15"",""correct"":false},{""text"":""18"",""correct"":false},{""text"":""20"",""correct"":true},{""text"":""22"",""correct"":false}]","Great job! The pattern goes down by 5 each time, so after 25 comes 20.","{""questionNumber"":""Q11"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""continuing a subtract-5 pattern""}"
12,tlrr37e-snp1vcf-lscet1kij-q12-mcq,Q12,mcq,"Decide which claim about the puzzle 11, 22, 33, 44 is true.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""It adds 10 each time."",""correct"":false},{""text"":""It adds 11 each time."",""correct"":true},{""text"":""It subtracts 11 each time."",""correct"":false},{""text"":""It adds 12 each time."",""correct"":false}]","Well spotted! Each step adds 11, so that claim is true.","{""questionNumber"":""Q12"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""describing an add-11 pattern""}"
13,tlrr37e-snp1vcf-lscet1kij-q13-mcq,Q13,mcq,"A puppy follows paw prints with numbers 14, 18, 22, 26. Choose the next paw-print number.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Applying,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""28"",""correct"":false},{""text"":""29"",""correct"":false},{""text"":""30"",""correct"":true},{""text"":""31"",""correct"":false}]","Lovely work! The numbers go up by 4 each time, so 26 becomes 30.","{""questionNumber"":""Q13"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""continuing an add-4 pattern""}"
14,tlrr37e-snp1vcf-lscet1kij-q14-mcq,Q14,mcq,"Look at the number pattern 50, 45, 40, 35. Which rule describes the pattern?",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""The numbers go down by 4 each time."",""correct"":false},{""text"":""The numbers go down by 5 each time."",""correct"":true},{""text"":""The numbers go up by 5 each time."",""correct"":false},{""text"":""The numbers go down by 10 each time."",""correct"":false}]","Find the difference between each pair of numbers: 50 to 45 is -5, 45 to 40 is -5, and 40 to 35 is -5. So the pattern goes down by 5 each time.","{""questionNumber"":""Q14"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""judging a subtract-5 pattern""}"
15,tlrr37e-snp1vcf-lscet1kij-q15-mcq,Q15,mcq,"Choose the equation that matches this marble pattern: 8, 16, 24, 32.",Maths,4,Logical Reasoning,Number Puzzles,Students can explain the strategy used to solve a number puzzle,Understanding,easy,1,"MCQ for Grade 4 Logical Reasoning: Number Puzzles, aligned to Students can explain the strategy used to solve a number puzzle.","[{""text"":""Add 6 each time"",""correct"":false},{""text"":""Add 7 each time"",""correct"":false},{""text"":""Add 8 each time"",""correct"":true},{""text"":""Add 9 each time"",""correct"":false}]","You did it! The numbers increase by 8 each time, so add 8 is the matching rule.","{""questionNumber"":""Q15"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Logical Reasoning"",""subtopic"":""Number Puzzles"",""learning_objective"":""Students can explain the strategy used to solve a number puzzle"",""focus"":""matching an add-8 pattern""}"
